Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country
Porsche,911,2022,3,379,331,4,"101,200",Germany
Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390",Italy
Ferrari,488 GTB,2022,3.9,661,561,3,"333,750",Italy
Audi,R8,2022,5.2,562,406,3.2,"142,700",Germany
McLaren,720S,2021,4,710,568,2.7,"298,000",United Kingdom
BMW,M8,2022,4.4,617,553,3.1,"130,000",Germany
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",Germany
Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900",United States
Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000",United States
Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000",Japan
Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495",United Kingdom
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",France
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000",United States
Jaguar,F-Type,2022,3,296,295,5.4,"70,100",United Kingdom
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Sweden
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450",United Kingdom
Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000",Italy
Porsche,Boxster,2021,2,300,280,4.7,"62,000",Germany
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000",Italy
Ariel,Atom,2021,2,320,243,2.8,"75,000",United Kingdom
Bentley,Continental GT,2021,6,626,664,3.6,"225,000",United Kingdom
McLaren,Artura,2022,3,671,531,3,"225,000",United Kingdom
Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000",Germany
Pagani,Huayra,2021,6,720,737,2.8,"2,800,000",Italy
Polestar,1,2021,2,600,738,4.1,"155,000",Sweden
Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Croatia
Porsche,Cayman GT4,2022,4,414,309,3.8,"100,200",Germany
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770",Italy
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italy
Audi,RS7,2022,4,591,590,3.5,"117,000",Germany
McLaren,Artura,2021,3,671,531,3,"225,000",United Kingdom
BMW,M4,2022,3,503,479,3.8,"72,800",Germany
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.2,"222,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",United States
Ford,GT,2022,3.5,660,550,3,"500,000",United States
Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,690",Japan
Porsche,Taycan 4S,2022,Electric Motor,562,479,3.8,"104,000",Germany
Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Italy
Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Italy
Audi,RS3,2022,2.5,394,369,3.9,"57,000",Germany
McLaren,GT,2021,4,612,465,3.1,"210,000",United Kingdom
BMW,i8,2020,1.5 + Electric,369,420,4.2,"148,500",Germany
Mercedes-Benz,CLS63 AMG,2019,4,603,627,3.4,"132,000",Germany
Porsche,Cayman,2021,2,300,280,5.1,"58,900",Germany
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"518,000",Italy
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italy
Audi,RS3,2022,2.5,394,369,3.9,"56,200",Germany
McLaren,570S,2021,3.8,562,443,2.8,"192,500",United Kingdom
BMW,M4,2022,3,503,479,3.8,"71,800",Germany
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"68,000",Germany
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"42,500",United States
Ford,Mustang GT,2022,5,460,420,4.3,"39,000",United States
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"46,100",Japan
Aston Martin,Vantage,2021,4,503,505,3.5,"142,100",United Kingdom
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",United Kingdom
Porsche,Panamera,2021,2.9,325,331,5.1,"87,200",Germany
Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Italy
Ferrari,Roma,2021,3.9,612,560,3.4,"222,000",Italy
Audi,S5,2022,3,349,369,4.4,"52,500",Germany
McLaren,600LT,2021,3.8,592,457,2.8,"241,000",United Kingdom
BMW,M5,2022,4.4,600,553,3.2,"103,500",Germany
Aston Martin,Vantage,2022,4,503,505,3.5,"146,000",United Kingdom
Audi,RS5,2021,2.9,444,443,3.6,"75,400",Germany
BMW,M2,2022,3,405,406,4,"58,900",Germany
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,900",United States
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"78,595",United States
Ford,GT,2021,3.5,660,550,3,"500,000",United States
Jaguar,F-Type,2022,2,296,295,5.4,"62,750",United Kingdom
Lamborghini,Aventador,2021,6.5,770,531,2.9,"417,826",Italy
Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980",Italy
McLaren,Artura,2022,3,671,531,3,"225,000",United Kingdom
Mercedes-Benz,C63 AMG,2021,4,503,516,3.8,"70,100",Germany
Nissan,370Z,2021,3.7,332,270,5,"30,090",Japan
Porsche,Panamera,2022,2.9,325,331,5.3,"88,700",Germany
Audi,TT RS,2021,2.5,394,354,3.6,"67,600",Germany
BMW,M4,2022,3,473,406,4.1,"72,800",Germany
Chevrolet,Corvette Stingray,2021,6.2,490,465,2.8,"59,900",United States
Ferrari,F8 Tributo,2021,3.9,710,568,2.8,"274,280",Italy
Ford,Mustang Mach 1,2021,5,480,420,4.3,"52,915",United States
Lamborghini,Urus,2021,4,641,627,3.6,"218,009",Italy
Porsche,718 Cayman,2022,2,300,280,4.5,"61,000",Germany
Acura,NSX,2022,3.5,573,476,2.9,"159,495",United States
Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",United Kingdom
Bentley,Continental GT,2021,6,626,664,3.3,"219,800",United Kingdom
Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",France
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"74,290",United States
Jaguar,F-Type,2022,3,380,339,4.9,"71,900",United Kingdom
Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",Sweden
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",United Kingdom
Maserati,GranTurismo,2022,4.7,454,384,4.7,"134,300",Italy
Mazda,MX-5 Miata,2021,2,181,151,6.5,"26,830",Japan
McLaren,GT,2022,4,620,465,3.1,"213,195",United Kingdom
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",Germany
Pagani,Huayra,2022,6,764,738,2.8,"2,800,000",Italy
Porsche,718 Cayman GT4,2022,4,414,309,4.2,"100,550",Germany
Rimac,Nevera,2022,Electric,1914,1696,1.95,"2,400,000",Croatia
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000",United Kingdom
Tesla,Roadster,2022,Electric,1000+,737,1.9,"200,000",United States
Toyota,Supra,2022,3,382,368,3.9,"43,090",Japan
W Motors,Fenyr Supersport,2022,3.8,800,723,2.7,"1,700,000",United Arab Emirates
Porsche,718 Cayman,2022,2,300,280,4.7,"60,500",Germany
Lamborghini,Aventador,2021,6.5,770,531,2.9,"522,000",Italy
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italy
Audi,TT RS,2022,2.5,394,354,3.4,"67,000",Germany
McLaren,GT,2021,4,612,465,3.1,"212,500",United Kingdom
BMW,M4,2022,3,503,479,3.8,"75,000",Germany
Mercedes-Benz,SL 63 AMG,2021,4,603,664,3.5,"155,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",United States
Ford,GT,2022,3.5,660,550,2.8,"500,000",United States
Nissan,370Z,2021,3.7,332,270,4.7,"31,015",Japan
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995",United Kingdom
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",France
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",United Kingdom
McLaren,570S,2021,3.8,562,443,3.2,"192,500",United Kingdom
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3.2,"190,000",Germany
Lamborghini,Urus,2021,4,641,627,3.6,"222,000",Italy
Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Italy
Audi,RS7,2021,4,591,590,3.5,"115,000",Germany
BMW,M2,2022,3,405,406,4.2,"59,000",Germany
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,100",Germany
Lamborghini,Aventador,2021,6.5,730,509,2.9,"417,826",Italy
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"304,995",United Kingdom
Bentley,Continental GT,2021,6,626,664,3.6,"220,300",United Kingdom
Audi,RS7,2022,4,591,590,3.5,"114,000",Germany
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.7,"239,100",Germany
McLaren,570S,2021,3.8,562,443,3.1,"192,500",United Kingdom
BMW,M2,2022,3,405,406,4,"58,900",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500",United States
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,290",United States
Ferrari,Portofino,2021,3.9,592,560,3.5,"219,750",Italy
Porsche,Panamera Turbo S,2022,4,620,604,2.9,"187,700",Germany
Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Italy
Mercedes-Benz,AMG C63,2021,4,469,479,3.8,"71,350",Germany
Aston Martin,Vantage,2021,4,503,505,3.6,"146,000",United Kingdom
Audi,S5,2022,3,349,369,4.4,"52,500",Germany
Porsche,Cayman,2022,2.5,365,309,4.5,"68,900",Germany
Lamborghini,Aventador,2021,6.5,730,507,2.8,"517,770",Italy
Ferrari,F8 Tributo,2022,3.9,710,568,2.9,"276,550",Italy
Audi,TT RS,2021,2.5,394,354,3.6,"67,600",Germany
McLaren,570S,2021,3.8,562,443,3.1,"192,500",United Kingdom
BMW,Z4 M40i,2022,3,382,369,3.9,"63,700",Germany
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",Germany
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"44,000",United States
Ford,Mustang Mach 1,2021,5,480,420,4,"51,720",United States
Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790",Japan
Porsche,Panamera,2022,2.9,325,331,5.4,"88,550",Germany
Lamborghini,Urus,2021,4,641,627,3.5,"218,009",Italy
Ferrari,Roma,2021,3.9,612,561,3.3,"222,620",Italy
Audi,RS 3,2022,2.5,401,369,3.6,"56,200",Germany
McLaren,GT,2021,4,612,465,3.2,"200,000",United Kingdom
BMW,M2 CS,2022,3,444,406,3.8,"84,595",Germany
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"77,500",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500",United States
Acura,NSX,2021,3.5,573,476,2.7,"157,500",United States
Aston Martin,DB11,2022,4,503,513,3.7,"204,100",United Kingdom
Bentley,Continental GT,2021,6,626,664,3.4,"220,300",United Kingdom
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",France
Dodge,Viper,2017,8.4,645,600,3.3,"120,000",United States
Jaguar,F-Type,2022,3,380,339,4.9,"69,900",United Kingdom
Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",Sweden
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,950",United Kingdom
Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,000",Italy
McLaren,570S,2020,3.8,562,443,3.1,"204,550",United Kingdom
Pagani,Huayra,2020,6,720,738,3,"2,700,000",Italy
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,900",Germany
Rimac,C_Two,2022,nan,1914,1696,1.9,"2,400,000",Croatia
Rolls-Royce,Wraith,2021,6.6,624,605,4.3,"330,000",United Kingdom
Shelby,Cobra,1965,7,435,440,4.2,"1,000,000",United States
Tesla,Model S Plaid,2021,nan,1020,1050,1.98,"131,190",United States
Toyota,GR Supra,2022,3,382,368,3.9,"43,090",Japan
TVR,Griffith,2022,5,500,479,3.8,"123,500",United Kingdom
W Motors,Lykan Hypersport,2015,3.7,780,708,2.8,"3,400,000",United Arab Emirates
Porsche,718 Cayman,2021,2,300,280,4.5,"61,500",Germany
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"518,000",Italy
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"507,000",Italy
Audi,RS 6,2021,4,591,590,3.5,"109,000",Germany
McLaren,GT,2021,4,612,465,3.1,"210,000",United Kingdom
BMW,M2 CS,2022,3,444,406,3.8,"84,595",Germany
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"228,000",Germany
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",United States
Ford,GT,2022,3.5,660,550,2.8,"500,000",United States
Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000",Japan
Porsche,Taycan,2021,Electric,750,774,2.6,"185,000",Germany
Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Italy
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"276,550",Italy
Audi,RS 3,2022,2.5,401,354,3.5,"56,000",Germany
McLaren,570S,2021,3.8,562,443,3.1,"191,000",United Kingdom
BMW,M5,2022,4.4,600,553,3.2,"104,000",Germany
Mercedes-Benz,AMG C 63,2021,4,469,479,3.9,"69,900",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",United States
Porsche,Taycan,2022,2,402,254,5.1,"81,250",Germany
Lamborghini,Aventador,2021,6.5,730,509,2.9,"517,700",Italy
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,"330,000",United Kingdom
Audi,RS 6 Avant,2021,4,591,590,3.5,"109,000",Germany
McLaren,600LT,2021,3.8,592,457,2.8,"242,500",United Kingdom
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"77,000",Germany
BMW,M4,2022,3,473,406,4.1,"72,800",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000",United States
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,"76,000",United States
Ford,GT,2022,3.5,660,550,2.9,"500,000",United States
Nissan,370Z,2021,3.7,332,270,4.9,"30,090",Japan
Porsche,Panamera,2022,2.9,325,332,5.3,"87,200",Germany
Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Italy
Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000",France
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280",Italy
Audi,RS 7,2021,4,591,590,3.5,"114,000",Germany
McLaren,570S,2021,3.8,562,443,3.1,"191,000",United Kingdom
Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",United Kingdom
Jaguar,F-Type,2022,5,575,516,3.5,"103,200",United Kingdom
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"177,700",Germany
Lamborghini,Aventador S,2021,6.5,729,509,2.9,"417,650",Italy
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italy
Audi,RS7,2022,4,591,590,3.5,"115,045",Germany
McLaren,600LT,2021,3.8,592,457,2.9,"256,500",United Kingdom
BMW,M2 Competition,2022,3,405,406,4,"59,895",Germany
Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"152,500",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",United States
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"69,995",United States
Ford,GT,2022,3.5,660,550,2.9,"500,000",United States
Porsche,Taycan Turbo S,2021,nan,750,774,2.6,"185,000",Germany
Lamborghini,Urus,2021,4,641,627,3.2,"218,009",Italy
Ferrari,812 Superfast,2021,6.5,789,530,2.9,"363,730",Italy
Audi,R8 Spyder,2022,5.2,562,406,3.5,"183,300",Germany
McLaren,GT,2021,4,612,465,3.1,"210,000",United Kingdom
BMW,M4,2022,3,473,406,4.1,"73,795",Germany
Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"183,000",Germany
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"60,995",United States
Aston Martin,DB11,2022,5.2,630,516,3.5,"207,000",United Kingdom
Bentley,Continental GT,2022,6,626,664,3.5,"203,825",United Kingdom
Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",United Kingdom
Acura,NSX,2022,3.5,573,476,2.7,"157,500",United States
Lotus,Evora GT,2021,3.5,416,317,3.7,"99,800",United Kingdom
Porsche,Cayman GT4,2021,4,414,309,4.2,"100,200",Germany
Alfa Romeo,4C,2020,1.7,237,258,4.1,"67,150",Italy
Audi,RS5,2022,2.9,444,443,3.7,"77,250",Germany
BMW,M2 Competition,2021,3,405,406,4,"58,900",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",United States
Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.6,"71,490",United States
Ford,GT,2022,3.5,660,550,2.8,"500,000",United States
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Japan
Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,400",Italy
Nissan,370Z Nismo,2021,3.7,350,276,4.6,"47,820",Japan
Rolls-Royce,Wraith,2022,6.8,624,605,4.4,"330,000",United Kingdom
Subaru,WRX STI,2021,2.5,310,290,4.6,"38,170",Japan
Tesla,Model S Plaid,2022,nan,1020,1050,1.9,"131,190",United States
Porsche,Cayman GT4,2021,4,414,309,4.2,"102,000",Germany
Lamborghini,Aventador,2021,6.5,729,507,2.9,"393,695",Italy
Ferrari,Portofino,2022,3.9,591,413,3.3,"218,750",Italy
Audi,RS7,2021,4,591,590,3.5,"114,000",Germany
McLaren,600LT,2021,3.8,592,457,2.8,"256,500",United Kingdom
BMW,M2,2022,3,405,406,4,"58,900",Germany
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",Germany
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"40,590",United States
Ford,Mustang Mach 1,2021,5,480,420,4,"52,720",United States
Nissan,370Z Nismo,2021,3.7,350,276,4.6,"45,000",Japan
Porsche,Panamera Turbo,2022,4,620,604,3.1,"174,300",Germany
Lamborghini,Urus,2021,4,641,627,3.2,"222,004",Italy
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Italy
Audi,TT RS,2022,2.5,394,354,3.4,"67,895",Germany
McLaren,GT,2021,4,612,465,3.1,"210,000",United Kingdom
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"62,290",United States
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"304,995",United Kingdom
Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",United Kingdom
Lexus,LC 500,2022,5,471,398,4.4,"93,050",Japan
Porsche,Cayman GT4,2022,4,414,309,4.2,"101,200",Germany
BMW,M2 Competition,2022,3,405,406,4,"59,895",Germany
Audi,RS 5 Coupe,2021,2.9,444,443,3.7,"75,100",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,195",United States
Lotus,Evora GT,2022,3.5,416,317,3.8,"105,000",United Kingdom
McLaren,GT,2021,4,612,465,3.1,"211,000",United Kingdom
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"275,000",Germany
Bugatti,Chiron,2021,8,1500,1180,2.4,"2,998,000",France
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"3,000,000",Sweden
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italy
Lamborghini,Aventador SVJ,2020,6.5,770,531,2.8,"573,966",Italy
Rimac,C_Two,2022,Electric,1914,1732,1.85,"2,400,000",Croatia
Pagani,Huayra Roadster BC,2021,6,791,774,2.5,"3,500,000",Italy
Pininfarina,Battista,2022,Electric,1874,1696,1.9,"2,500,000",Italy
Acura,NSX,2022,3.5,573,476,2.9,"157,500",United States
Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",United Kingdom
Bentley,Continental GT,2022,4,542,568,3.9,"219,800",United Kingdom
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"70,000",United States
Jaguar,F-Type,2022,2,296,295,5.4,"61,600",United Kingdom
Kia,Stinger,2022,3.3,368,376,4.7,"52,200",South Korea
Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",United Kingdom
Maserati,GranTurismo,2021,4.7,454,384,4.8,"134,300",Italy
Porsche,718 Cayman GT4,2022,4,414,309,4.2,"102,550",Germany
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,400",Italy
Audi,RS7,2021,4,591,590,3.5,"114,000",Germany
BMW,M5,2022,4.4,600,553,3.2,"103,500",Germany
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"69,000",United States
Ford,GT,2022,3.5,660,550,3,"500,000",United States
Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826",Italy
McLaren,Artura,2021,3,671,531,3,"225,000",United Kingdom
Mercedes-Benz,SLS AMG,2021,4,577,516,3.6,"247,500",Germany
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,790",Japan
Porsche,Taycan,2022,Electric,616,774,2.6,"79,900",Germany
Tesla,Model S,2022,Electric,1020,1050,1.98,"119,000",United States
Aston Martin,DBS Superleggera,2022,5.2,715,664,3.2,"307,820",United Kingdom
Bentley,Continental GT,2022,4,542,568,3.4,"207,825",United Kingdom
Bugatti,Chiron,2021,8,1479,1180,2.3,"2,998,000",France
McLaren,570S,2021,3.8,562,443,3.1,"202,500",United Kingdom
Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"185,000",Germany
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,826",Italy
Ferrari,F8 Tributo,2022,3.9,710,568,2.8,"276,550",Italy
Audi,RS 7,2022,4,591,590,3.5,"114,000",Germany
BMW,M2 CS,2022,3,444,406,4,"84,595",Germany
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.2,"275,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",United States
Ford,GT,2022,3.5,660,550,3,"500,000",United States
Jaguar,F-Type,2021,5,575,516,3.5,"103,200",United Kingdom
Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950",United Kingdom
Maserati,GranTurismo,2022,4.7,454,384,4.8,"134,300",Italy
McLaren,765LT,2021,4,755,590,2.8,"358,000",United Kingdom
Nissan,370Z,2021,3.7,332,270,5,"30,000",Japan
Pagani,Huayra,2021,6,730,738,3,"2,600,000",Italy
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000",Germany
Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"131,100",United States
Aston Martin,DB11,2021,4,503,513,4,"201,495",United Kingdom
Dodge,Challenger Hellcat Redeye,2022,6.2,797,707,3.4,"82,190",United States
Lotus,Evora,2021,3.5,416,317,3.8,"96,950",United Kingdom
Acura,NSX,2021,3.5,573,476,2.7,"159,495",United States
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,950",Italy
Bentley,Continental GT,2021,6,626,664,3.3,"202,500",United Kingdom
Jaguar,F-Type,2022,3,380,339,4.9,"70,100",United Kingdom
Koenigsegg,Jesko,2022,5,1280,1015,2.5,"3,000,000",Sweden
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Japan
Maserati,GranTurismo,2022,4.7,454,384,4.8,"132,795",Italy
McLaren,GT,2022,4,612,465,3.1,"215,500",United Kingdom
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"80,900",Germany
Porsche,718 Cayman,2021,2,300,280,4.9,"59,900",Germany
Rolls-Royce,Wraith,2021,6.8,624,605,4.3,"330,000",United Kingdom
Tesla,Roadster,2022,Electric,1000+,0,1.9,"200,000",United States
